Case ID,Start Timestamp,Complete Timestamp,Task,Resource
5,2024-09-27 22:36:22.476151,2024-09-27 22:36:24.557359,Validate user input,BookingSystem
5,2024-09-27 22:36:24.557359,2024-09-27 22:36:28.703672,Check availability,InventorySystem
5,2024-09-27 22:36:28.703672,2024-09-27 22:36:31.893984,Create an order and return an order id to user,BookingSystem
5,2024-09-27 22:36:31.893984,2024-09-27 22:36:36.316134,Confirm and pay,David
5,2024-09-27 22:36:36.316134,2024-09-27 22:36:41.285260,Validate user payment information and process payment,PaymentGateway
5,2024-09-27 22:36:41.285260,2024-09-27 22:36:43.169679,Update inventory,InventorySystem
5,2024-09-27 22:36:43.169679,2024-09-27 22:36:44.958878,Send confirmation message to user,BookingSystem
5,2024-09-27 22:36:44.958878,2024-09-27 22:36:46.236875,Receive confirmation,David
6,2024-09-27 22:36:02.924517,2024-09-27 22:36:07.648375,Browse attraction page,Eve
6,2024-09-27 22:36:07.648375,2024-09-27 22:36:12.486734,Response attraction information to user,VisitorInformationSystem
6,2024-09-27 22:36:12.486734,2024-09-27 22:36:15.409687,Click specific attraction book now button,Eve
6,2024-09-27 22:36:15.409687,2024-09-27 22:36:20.048430,Response tour information to user,BookingSystem
6,2024-09-27 22:36:20.048430,2024-09-27 22:36:22.731265,View specific tour details,Eve
6,2024-09-27 22:36:22.731265,2024-09-27 22:36:24.724720,Fill personal information and click book button,Eve
6,2024-09-27 22:36:24.724720,2024-09-27 22:36:27.596363,Validate user input,BookingSystem
6,2024-09-27 22:36:27.596363,2024-09-27 22:36:30.462380,Check availability,InventorySystem
6,2024-09-27 22:36:30.462380,2024-09-27 22:36:32.454988,Create an order and return an order id to user,BookingSystem
6,2024-09-27 22:36:32.454988,2024-09-27 22:36:34.672002,Confirm and pay,Eve
6,2024-09-27 22:36:34.672002,2024-09-27 22:36:36.743731,Validate user payment information and process payment,PaymentGateway
6,2024-09-27 22:36:36.743731,2024-09-27 22:36:41.134530,Update inventory,InventorySystem
6,2024-09-27 22:36:41.134530,2024-09-27 22:36:44.177631,Send confirmation message to user,BookingSystem
6,2024-09-27 22:36:44.177631,2024-09-27 22:36:45.243639,Receive confirmation,Eve
7,2024-09-27 22:36:02.924524,2024-09-27 22:36:07.663304,Search for attraction,Alice
7,2024-09-27 22:36:07.663304,2024-09-27 22:36:09.825149,Response attraction information to user,VisitorInformationSystem
7,2024-09-27 22:36:09.825149,2024-09-27 22:36:12.693424,Click specific attraction book now button,Alice
7,2024-09-27 22:36:12.693424,2024-09-27 22:36:14.816969,Response tour information to user,BookingSystem
7,2024-09-27 22:36:14.816969,2024-09-27 22:36:15.919243,View specific tour details,Alice
7,2024-09-27 22:36:15.919243,2024-09-27 22:36:20.741654,Fill personal information and click book button,Alice
7,2024-09-27 22:36:20.741654,2024-09-27 22:36:25.275637,Validate user input,BookingSystem
7,2024-09-27 22:36:25.275637,2024-09-27 22:36:28.451074,Check availability,InventorySystem
7,2024-09-27 22:36:28.451074,2024-09-27 22:36:29.767635,Create an order and return an order id to user,BookingSystem
7,2024-09-27 22:36:29.767635,2024-09-27 22:36:33.963731,Confirm and pay,Alice
7,2024-09-27 22:36:33.963731,2024-09-27 22:36:37.987796,Validate user payment information and process payment,PaymentGateway
7,2024-09-27 22:36:37.987796,2024-09-27 22:36:41.172711,Update inventory,InventorySystem
7,2024-09-27 22:36:41.172711,2024-09-27 22:36:42.534203,Send confirmation message to user,BookingSystem
7,2024-09-27 22:36:42.534203,2024-09-27 22:36:47.362262,Receive confirmation,Alice
8,2024-09-27 22:36:02.924532,2024-09-27 22:36:05.734718,Browse attraction page,Alice
8,2024-09-27 22:36:05.734718,2024-09-27 22:36:08.865845,Response attraction information to user,VisitorInformationSystem
8,2024-09-27 22:36:08.865845,2024-09-27 22:36:13.732148,Click specific attraction book now button,Alice
8,2024-09-27 22:36:13.732148,2024-09-27 22:36:16.042800,Response tour information to user,BookingSystem
8,2024-09-27 22:36:16.042800,2024-09-27 22:36:19.836601,View specific tour details,Alice
8,2024-09-27 22:36:19.836601,2024-09-27 22:36:21.081359,Fill personal information and click book button,Alice
8,2024-09-27 22:36:21.081359,2024-09-27 22:36:24.904268,Validate user input,BookingSystem
8,2024-09-27 22:36:24.904268,2024-09-27 22:36:27.020639,Check availability,InventorySystem
8,2024-09-27 22:36:27.020639,2024-09-27 22:36:31.404752,Create an order and return an order id to user,BookingSystem
8,2024-09-27 22:36:31.404752,2024-09-27 22:36:34.908650,Confirm and pay,Alice
8,2024-09-27 22:36:34.908650,2024-09-27 22:36:36.359812,Validate user payment information and process payment,PaymentGateway
8,2024-09-27 22:36:36.359812,2024-09-27 22:36:39.345331,Update inventory,InventorySystem
8,2024-09-27 22:36:39.345331,2024-09-27 22:36:43.256345,Send confirmation message to user,BookingSystem
8,2024-09-27 22:36:43.256345,2024-09-27 22:36:46.525397,Receive confirmation,Alice
9,2024-09-27 22:36:02.924539,2024-09-27 22:36:04.466544,Browse attraction page,Eve
9,2024-09-27 22:36:04.466544,2024-09-27 22:36:06.373276,Response attraction information to user,VisitorInformationSystem
9,2024-09-27 22:36:06.373276,2024-09-27 22:36:09.417309,Click specific attraction book now button,Eve
9,2024-09-27 22:36:09.417309,2024-09-27 22:36:10.575620,Response tour information to user,BookingSystem
9,2024-09-27 22:36:10.575620,2024-09-27 22:36:15.249357,View specific tour details,Eve
9,2024-09-27 22:36:15.249357,2024-09-27 22:36:19.619140,Fill personal information and click book button,Eve
9,2024-09-27 22:36:19.619140,2024-09-27 22:36:23.739926,Validate user input,BookingSystem
9,2024-09-27 22:36:23.739926,2024-09-27 22:36:25.670966,Check availability,InventorySystem
9,2024-09-27 22:36:25.670966,2024-09-27 22:36:29.045797,Create an order and return an order id to user,BookingSystem
9,2024-09-27 22:36:29.045797,2024-09-27 22:36:30.190308,Confirm and pay,Eve
9,2024-09-27 22:36:30.190308,2024-09-27 22:36:34.922238,Validate user payment information and process payment,PaymentGateway
9,2024-09-27 22:36:34.922238,2024-09-27 22:36:39.443123,Update inventory,InventorySystem
9,2024-09-27 22:36:39.443123,2024-09-27 22:36:43.953254,Send confirmation message to user,BookingSystem
9,2024-09-27 22:36:43.953254,2024-09-27 22:36:45.322769,Receive confirmation,Eve
10,2024-09-27 22:36:02.924550,2024-09-27 22:36:05.961328,Browse attraction page,Bob
10,2024-09-27 22:36:05.961328,2024-09-27 22:36:10.217742,Response attraction information to user,VisitorInformationSystem
10,2024-09-27 22:36:10.217742,2024-09-27 22:36:12.009126,Click specific attraction book now button,Bob
10,2024-09-27 22:36:12.009126,2024-09-27 22:36:13.273283,Response tour information to user,BookingSystem
10,2024-09-27 22:36:13.273283,2024-09-27 22:36:17.797063,View specific tour details,Bob
10,2024-09-27 22:36:17.797063,2024-09-27 22:36:21.379935,Fill personal information and click book button,Bob
10,2024-09-27 22:36:21.379935,2024-09-27 22:36:26.304325,Validate user input,BookingSystem
10,2024-09-27 22:36:26.304325,2024-09-27 22:36:29.645935,Check availability,InventorySystem
10,2024-09-27 22:36:29.645935,2024-09-27 22:36:32.166256,Create an order and return an order id to user,BookingSystem
10,2024-09-27 22:36:32.166256,2024-09-27 22:36:33.667327,Confirm and pay,Bob
10,2024-09-27 22:36:33.667327,2024-09-27 22:36:33.667327,Process terminated: Payment failure,PaymentGateway
11,2024-09-27 22:36:02.924556,2024-09-27 22:36:06.277193,Browse attraction page,David
11,2024-09-27 22:36:06.277193,2024-09-27 22:36:07.821127,Response attraction information to user,VisitorInformationSystem
11,2024-09-27 22:36:07.821127,2024-09-27 22:36:11.227102,Click specific attraction book now button,David
11,2024-09-27 22:36:11.227102,2024-09-27 22:36:16.134840,Response tour information to user,BookingSystem
11,2024-09-27 22:36:16.134840,2024-09-27 22:36:19.822659,View specific tour details,David
11,2024-09-27 22:36:19.822659,2024-09-27 22:36:21.101875,Fill personal information and click book button,David
11,2024-09-27 22:36:21.101875,2024-09-27 22:36:24.903286,Validate user input,BookingSystem
11,2024-09-27 22:36:24.903286,2024-09-27 22:36:27.169822,Check availability,InventorySystem
11,2024-09-27 22:36:27.169822,2024-09-27 22:36:29.295815,Create an order and return an order id to user,BookingSystem
11,2024-09-27 22:36:29.295815,2024-09-27 22:36:31.409932,Confirm and pay,David
11,2024-09-27 22:36:31.409932,2024-09-27 22:36:32.735124,Validate user payment information and process payment,PaymentGateway
11,2024-09-27 22:36:32.735124,2024-09-27 22:36:35.326696,Update inventory,InventorySystem
11,2024-09-27 22:36:35.326696,2024-09-27 22:36:38.040094,Send confirmation message to user,BookingSystem
11,2024-09-27 22:36:38.040094,2024-09-27 22:36:39.830114,Receive confirmation,David
12,2024-09-27 22:36:02.924563,2024-09-27 22:36:03.931209,Browse attraction page,Eve
12,2024-09-27 22:36:03.931209,2024-09-27 22:36:05.500139,Response attraction information to user,VisitorInformationSystem
12,2024-09-27 22:36:05.500139,2024-09-27 22:36:09.186156,Click specific attraction book now button,Eve
12,2024-09-27 22:36:09.186156,2024-09-27 22:36:12.869292,Response tour information to user,BookingSystem
12,2024-09-27 22:36:12.869292,2024-09-27 22:36:17.486499,View specific tour details,Eve
12,2024-09-27 22:36:17.486499,2024-09-27 22:36:20.244666,Fill personal information and click book button,Eve
12,2024-09-27 22:36:20.244666,2024-09-27 22:36:24.903287,Validate user input,BookingSystem
12,2024-09-27 22:36:24.903287,2024-09-27 22:36:29.358984,Check availability,InventorySystem
12,2024-09-27 22:36:29.358984,2024-09-27 22:36:31.033424,Create an order and return an order id to user,BookingSystem
12,2024-09-27 22:36:31.033424,2024-09-27 22:36:32.039353,Confirm and pay,Eve
12,2024-09-27 22:36:32.039353,2024-09-27 22:36:32.039353,Process terminated: Payment failure,PaymentGateway
13,2024-09-27 22:36:02.924569,2024-09-27 22:36:07.591712,Browse attraction page,David
13,2024-09-27 22:36:07.591712,2024-09-27 22:36:11.793994,Response attraction information to user,VisitorInformationSystem
13,2024-09-27 22:36:11.793994,2024-09-27 22:36:16.695797,Click specific attraction book now button,David
13,2024-09-27 22:36:16.695797,2024-09-27 22:36:19.515133,Response tour information to user,BookingSystem
13,2024-09-27 22:36:19.515133,2024-09-27 22:36:23.991600,View specific tour details,David
13,2024-09-27 22:36:23.991600,2024-09-27 22:36:26.847318,Fill personal information and click book button,David
13,2024-09-27 22:36:26.847318,2024-09-27 22:36:31.038414,Validate user input,BookingSystem
13,2024-09-27 22:36:31.038414,2024-09-27 22:36:33.450431,Check availability,InventorySystem
13,2024-09-27 22:36:33.450431,2024-09-27 22:36:36.886469,Create an order and return an order id to user,BookingSystem
13,2024-09-27 22:36:36.886469,2024-09-27 22:36:41.722250,Confirm and pay,David
13,2024-09-27 22:36:41.722250,2024-09-27 22:36:45.971675,Validate user payment information and process payment,PaymentGateway
13,2024-09-27 22:36:45.971675,2024-09-27 22:36:47.217183,Update inventory,InventorySystem
13,2024-09-27 22:36:47.217183,2024-09-27 22:36:51.025344,Send confirmation message to user,BookingSystem
13,2024-09-27 22:36:51.025344,2024-09-27 22:36:52.368856,Receive confirmation,David
14,2024-09-27 22:36:02.924580,2024-09-27 22:36:07.903048,Browse attraction page,David
14,2024-09-27 22:36:07.903048,2024-09-27 22:36:10.394785,Response attraction information to user,VisitorInformationSystem
14,2024-09-27 22:36:10.394785,2024-09-27 22:36:12.433478,Click specific attraction book now button,David
14,2024-09-27 22:36:12.433478,2024-09-27 22:36:14.731386,Response tour information to user,BookingSystem
14,2024-09-27 22:36:14.731386,2024-09-27 22:36:19.129904,View specific tour details,David
14,2024-09-27 22:36:19.129904,2024-09-27 22:36:22.475206,Fill personal information and click book button,David
14,2024-09-27 22:36:22.475206,2024-09-27 22:36:24.469921,Validate user input,BookingSystem
14,2024-09-27 22:36:24.469921,2024-09-27 22:36:26.238370,Check availability,InventorySystem
14,2024-09-27 22:36:26.238370,2024-09-27 22:36:29.534200,Create an order and return an order id to user,BookingSystem
14,2024-09-27 22:36:29.534200,2024-09-27 22:36:33.225960,Confirm and pay,David
14,2024-09-27 22:36:33.225960,2024-09-27 22:36:36.074920,Validate user payment information and process payment,PaymentGateway
14,2024-09-27 22:36:36.074920,2024-09-27 22:36:40.476189,Update inventory,InventorySystem
14,2024-09-27 22:36:40.476189,2024-09-27 22:36:45.291523,Send confirmation message to user,BookingSystem
14,2024-09-27 22:36:45.291523,2024-09-27 22:36:46.537944,Receive confirmation,David
15,2024-09-27 22:36:02.924591,2024-09-27 22:36:06.545407,Browse attraction page,Eve
15,2024-09-27 22:36:06.545407,2024-09-27 22:36:11.497846,Response attraction information to user,VisitorInformationSystem
15,2024-09-27 22:36:11.497846,2024-09-27 22:36:14.001059,Click specific attraction book now button,Eve
15,2024-09-27 22:36:14.001059,2024-09-27 22:36:15.441080,Response tour information to user,BookingSystem
15,2024-09-27 22:36:15.441080,2024-09-27 22:36:18.043431,View specific tour details,Eve
15,2024-09-27 22:36:18.043431,2024-09-27 22:36:20.898276,Fill personal information and click book button,Eve
15,2024-09-27 22:36:20.898276,2024-09-27 22:36:25.832790,Validate user input,BookingSystem
15,2024-09-27 22:36:25.832790,2024-09-27 22:36:27.110786,Check availability,InventorySystem
15,2024-09-27 22:36:27.110786,2024-09-27 22:36:30.736527,Create an order and return an order id to user,BookingSystem
15,2024-09-27 22:36:30.736527,2024-09-27 22:36:35.079076,Confirm and pay,Eve
15,2024-09-27 22:36:35.079076,2024-09-27 22:36:39.468600,Validate user payment information and process payment,PaymentGateway
15,2024-09-27 22:36:39.468600,2024-09-27 22:36:43.591351,Update inventory,InventorySystem
15,2024-09-27 22:36:43.591351,2024-09-27 22:36:48.051227,Send confirmation message to user,BookingSystem
15,2024-09-27 22:36:48.051227,2024-09-27 22:36:51.187811,Receive confirmation,Eve
16,2024-09-27 22:36:02.924598,2024-09-27 22:36:06.890638,Search for attraction,Alice
16,2024-09-27 22:36:06.890638,2024-09-27 22:36:08.169046,Response attraction information to user,VisitorInformationSystem
16,2024-09-27 22:36:08.169046,2024-09-27 22:36:11.111467,Click specific attraction book now button,Alice
16,2024-09-27 22:36:11.111467,2024-09-27 22:36:14.201171,Response tour information to user,BookingSystem
16,2024-09-27 22:36:14.201171,2024-09-27 22:36:15.486911,View specific tour details,Alice
16,2024-09-27 22:36:15.486911,2024-09-27 22:36:16.700181,Fill personal information and click book button,Alice
16,2024-09-27 22:36:16.700181,2024-09-27 22:36:20.395474,Validate user input,BookingSystem
16,2024-09-27 22:36:20.395474,2024-09-27 22:36:22.760497,Check availability,InventorySystem
16,2024-09-27 22:36:22.760497,2024-09-27 22:36:25.190765,Create an order and return an order id to user,BookingSystem
16,2024-09-27 22:36:25.190765,2024-09-27 22:36:26.389076,Confirm and pay,Alice
16,2024-09-27 22:36:26.389076,2024-09-27 22:36:26.389076,Process terminated: Payment failure,PaymentGateway
17,2024-09-27 22:36:02.924603,2024-09-27 22:36:04.467072,Browse attraction page,David
17,2024-09-27 22:36:04.467072,2024-09-27 22:36:08.703486,Response attraction information to user,VisitorInformationSystem
17,2024-09-27 22:36:08.703486,2024-09-27 22:36:11.136522,Click specific attraction book now button,David
17,2024-09-27 22:36:11.136522,2024-09-27 22:36:14.750343,Response tour information to user,BookingSystem
17,2024-09-27 22:36:14.750343,2024-09-27 22:36:18.211457,View specific tour details,David
17,2024-09-27 22:36:18.211457,2024-09-27 22:36:21.105709,Fill personal information and click book button,David
17,2024-09-27 22:36:21.105709,2024-09-27 22:36:23.325673,Validate user input,BookingSystem
17,2024-09-27 22:36:23.325673,2024-09-27 22:36:26.236784,Check availability,InventorySystem
17,2024-09-27 22:36:26.236784,2024-09-27 22:36:28.561788,Create an order and return an order id to user,BookingSystem
17,2024-09-27 22:36:28.561788,2024-09-27 22:36:32.178253,Confirm and pay,David
17,2024-09-27 22:36:32.178253,2024-09-27 22:36:34.426047,Validate user payment information and process payment,PaymentGateway
17,2024-09-27 22:36:34.426047,2024-09-27 22:36:39.091228,Update inventory,InventorySystem
17,2024-09-27 22:36:39.091228,2024-09-27 22:36:42.122279,Send confirmation message to user,BookingSystem
17,2024-09-27 22:36:42.122279,2024-09-27 22:36:43.563586,Receive confirmation,David
18,2024-09-27 22:36:02.924612,2024-09-27 22:36:05.002285,Browse attraction page,Alice
18,2024-09-27 22:36:05.002285,2024-09-27 22:36:05.002285,Process terminated: User exited early,Alice
19,2024-09-27 22:36:02.924614,2024-09-27 22:36:07.101871,Browse attraction page,David
19,2024-09-27 22:36:07.101871,2024-09-27 22:36:10.125302,Response attraction information to user,VisitorInformationSystem
19,2024-09-27 22:36:10.125302,2024-09-27 22:36:12.499002,Click specific attraction book now button,David
19,2024-09-27 22:36:12.499002,2024-09-27 22:36:14.066557,Response tour information to user,BookingSystem
19,2024-09-27 22:36:14.066557,2024-09-27 22:36:18.117386,View specific tour details,David
19,2024-09-27 22:36:18.117386,2024-09-27 22:36:20.999909,Fill personal information and click book button,David
19,2024-09-27 22:36:20.999909,2024-09-27 22:36:23.639515,Validate user input,BookingSystem
19,2024-09-27 22:36:23.639515,2024-09-27 22:36:24.834982,Check availability,InventorySystem
19,2024-09-27 22:36:24.834982,2024-09-27 22:36:26.721945,Create an order and return an order id to user,BookingSystem
19,2024-09-27 22:36:26.721945,2024-09-27 22:36:30.552733,Confirm and pay,David
19,2024-09-27 22:36:30.552733,2024-09-27 22:36:31.770266,Validate user payment information and process payment,PaymentGateway
19,2024-09-27 22:36:31.770266,2024-09-27 22:36:34.568303,Update inventory,InventorySystem
19,2024-09-27 22:36:34.568303,2024-09-27 22:36:36.338311,Send confirmation message to user,BookingSystem
19,2024-09-27 22:36:36.338311,2024-09-27 22:36:37.647129,Receive confirmation,David
20,2024-09-27 22:36:02.924621,2024-09-27 22:36:04.693509,Browse attraction page,Bob
20,2024-09-27 22:36:04.693509,2024-09-27 22:36:09.538890,Response attraction information to user,VisitorInformationSystem
20,2024-09-27 22:36:09.538890,2024-09-27 22:36:13.076666,Click specific attraction book now button,Bob
20,2024-09-27 22:36:13.076666,2024-09-27 22:36:17.338783,Response tour information to user,BookingSystem
20,2024-09-27 22:36:17.338783,2024-09-27 22:36:21.419093,View specific tour details,Bob
20,2024-09-27 22:36:21.419093,2024-09-27 22:36:24.152828,Fill personal information and click book button,Bob
20,2024-09-27 22:36:24.152828,2024-09-27 22:36:25.476025,Validate user input,BookingSystem
20,2024-09-27 22:36:25.476025,2024-09-27 22:36:26.983412,Check availability,InventorySystem
20,2024-09-27 22:36:26.983412,2024-09-27 22:36:31.399880,Create an order and return an order id to user,BookingSystem
20,2024-09-27 22:36:31.399880,2024-09-27 22:36:34.057269,Confirm and pay,Bob
20,2024-09-27 22:36:34.057269,2024-09-27 22:36:37.791552,Validate user payment information and process payment,PaymentGateway
20,2024-09-27 22:36:37.791552,2024-09-27 22:36:40.203838,Update inventory,InventorySystem
20,2024-09-27 22:36:40.203838,2024-09-27 22:36:43.502161,Send confirmation message to user,BookingSystem
20,2024-09-27 22:36:43.502161,2024-09-27 22:36:44.759092,Receive confirmation,Bob
21,2024-09-27 22:36:02.924628,2024-09-27 22:36:05.262419,Browse attraction page,Charlie
21,2024-09-27 22:36:05.262419,2024-09-27 22:36:09.894581,Response attraction information to user,VisitorInformationSystem
21,2024-09-27 22:36:09.894581,2024-09-27 22:36:12.034116,Click specific attraction book now button,Charlie
21,2024-09-27 22:36:12.034116,2024-09-27 22:36:15.210069,Response tour information to user,BookingSystem
21,2024-09-27 22:36:15.210069,2024-09-27 22:36:18.787001,View specific tour details,Charlie
21,2024-09-27 22:36:18.787001,2024-09-27 22:36:20.244767,Fill personal information and click book button,Charlie
21,2024-09-27 22:36:20.244767,2024-09-27 22:36:24.977985,Validate user input,BookingSystem
21,2024-09-27 22:36:24.977985,2024-09-27 22:36:28.699087,Check availability,InventorySystem
21,2024-09-27 22:36:28.699087,2024-09-27 22:36:30.279761,Create an order and return an order id to user,BookingSystem
21,2024-09-27 22:36:30.279761,2024-09-27 22:36:32.562379,Confirm and pay,Charlie
21,2024-09-27 22:36:32.562379,2024-09-27 22:36:35.234279,Validate user payment information and process payment,PaymentGateway
21,2024-09-27 22:36:35.234279,2024-09-27 22:36:38.435301,Update inventory,InventorySystem
21,2024-09-27 22:36:38.435301,2024-09-27 22:36:40.997198,Send confirmation message to user,BookingSystem
21,2024-09-27 22:36:40.997198,2024-09-27 22:36:45.968142,Receive confirmation,Charlie
22,2024-09-27 22:36:02.924635,2024-09-27 22:36:05.864159,Browse attraction page,David
22,2024-09-27 22:36:05.864159,2024-09-27 22:36:09.076543,Response attraction information to user,VisitorInformationSystem
22,2024-09-27 22:36:09.076543,2024-09-27 22:36:10.166936,Click specific attraction book now button,David
22,2024-09-27 22:36:10.166936,2024-09-27 22:36:13.761345,Response tour information to user,BookingSystem
22,2024-09-27 22:36:13.761345,2024-09-27 22:36:17.825300,View specific tour details,David
22,2024-09-27 22:36:17.825300,2024-09-27 22:36:19.108641,Fill personal information and click book button,David
22,2024-09-27 22:36:19.108641,2024-09-27 22:36:22.292476,Validate user input,BookingSystem
22,2024-09-27 22:36:22.292476,2024-09-27 22:36:25.570161,Check availability,InventorySystem
22,2024-09-27 22:36:25.570161,2024-09-27 22:36:30.309243,Create an order and return an order id to user,BookingSystem
22,2024-09-27 22:36:30.309243,2024-09-27 22:36:35.306705,Confirm and pay,David
22,2024-09-27 22:36:35.306705,2024-09-27 22:36:40.024230,Validate user payment information and process payment,PaymentGateway
22,2024-09-27 22:36:40.024230,2024-09-27 22:36:41.100497,Update inventory,InventorySystem
22,2024-09-27 22:36:41.100497,2024-09-27 22:36:43.044889,Send confirmation message to user,BookingSystem
22,2024-09-27 22:36:43.044889,2024-09-27 22:36:46.308087,Receive confirmation,David
23,2024-09-27 22:36:02.924642,2024-09-27 22:36:04.934251,Browse attraction page,Eve
23,2024-09-27 22:36:04.934251,2024-09-27 22:36:09.742117,Response attraction information to user,VisitorInformationSystem
23,2024-09-27 22:36:09.742117,2024-09-27 22:36:14.014853,Click specific attraction book now button,Eve
23,2024-09-27 22:36:14.014853,2024-09-27 22:36:18.371069,Response tour information to user,BookingSystem
23,2024-09-27 22:36:18.371069,2024-09-27 22:36:21.308048,View specific tour details,Eve
23,2024-09-27 22:36:21.308048,2024-09-27 22:36:22.887077,Fill personal information and click book button,Eve
23,2024-09-27 22:36:22.887077,2024-09-27 22:36:26.522026,Validate user input,BookingSystem
23,2024-09-27 22:36:26.522026,2024-09-27 22:36:28.618284,Check availability,InventorySystem
23,2024-09-27 22:36:28.618284,2024-09-27 22:36:32.851654,Create an order and return an order id to user,BookingSystem
23,2024-09-27 22:36:32.851654,2024-09-27 22:36:34.588521,Confirm and pay,Eve
23,2024-09-27 22:36:34.588521,2024-09-27 22:36:38.498135,Validate user payment information and process payment,PaymentGateway
23,2024-09-27 22:36:38.498135,2024-09-27 22:36:39.758656,Update inventory,InventorySystem
